segment,samples,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals,winning_trades,losing_trades,max_drawdown
low_vol,14741,0.25058942404850115,-1.2193182751771652e-06,0.512137559002023,0.9505111572031211,0.9978068056610511,0.20141103045926328,2969,1519,1447,0.09027022826378128
mid_vol,14740,0.3141778523489933,8.707761408511368e-06,0.5132186319765002,0.9593619639768395,1.0114652430548918,0.16173677069199457,2384,1223,1160,0.14633496486078645
high_vol,15187,0.3767935121646912,8.786885650293975e-05,0.537117903930131,0.9421055487900433,1.0931979481242955,0.10555080002633832,1603,861,742,0.09293290135530319
