threshold,objective_score,valid_threshold,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals
0.47000000000000014,9.951333213228448,True,0.4426229508196721,0.0007438655744115868,0.7049180327868853,1.0093381944195343,2.4111967977799984,0.002731261753380496,61
0.46000000000000013,9.65240899715792,True,0.415929203539823,0.0006469750162563984,0.6814159292035398,0.952834777774908,2.038007719129664,0.005059550461180264,113
0.36000000000000004,8.439876575376744,True,0.3417203042715038,0.00010734914242288079,0.5459332943241662,0.9429644113988968,1.1337445822618177,0.07652010387749619,1709
0.4500000000000001,8.413098952902953,True,0.4020618556701031,0.0004846976904236211,0.6391752577319587,0.9006884983225248,1.5955053398856156,0.008686307871406824,194
0.35000000000000003,8.314768178069556,True,0.33536247924737134,8.77348004819246e-05,0.5428887659103486,0.9334719670241404,1.1086392247586947,0.08090803259604191,1807
0.3,8.280202751814231,True,0.334983498349835,8.349588061086621e-05,0.5418041804180418,0.9329078373607285,1.1031383190880162,0.08140055520730724,1818
0.31,8.280202751814231,True,0.334983498349835,8.349588061086621e-05,0.5418041804180418,0.9329078373607285,1.1031383190880162,0.08140055520730724,1818
0.32,8.280202751814231,True,0.334983498349835,8.349588061086621e-05,0.5418041804180418,0.9329078373607285,1.1031383190880162,0.08140055520730724,1818
0.33,8.280202751814231,True,0.334983498349835,8.349588061086621e-05,0.5418041804180418,0.9329078373607285,1.1031383190880162,0.08140055520730724,1818
0.34,8.280202751814231,True,0.334983498349835,8.349588061086621e-05,0.5418041804180418,0.9329078373607285,1.1031383190880162,0.08140055520730724,1818
0.37000000000000005,8.151492931164771,True,0.3421905379131562,9.141326574142499e-05,0.5437459494491251,0.9315918540384381,1.1102351783213773,0.06908748992567386,1543
0.48000000000000015,8.130868394201304,True,0.3939393939393939,0.000767727611562236,0.7272727272727273,0.8646522743607945,2.305739398295452,0.0014775678337960061,33
0.4200000000000001,8.059797257751512,True,0.38578680203045684,0.00022961726207322837,0.5769881556683587,0.9256577315653081,1.26259714585508,0.0264618966598012,591
0.4100000000000001,8.049721883891614,True,0.37548387096774194,0.00018386614337075104,0.56,0.9505014291476451,1.2097290916424575,0.034700456702784994,775
0.4300000000000001,7.8309424049407665,True,0.3780487804878049,0.00026463979022804543,0.5878048780487805,0.9124071936473555,1.301125051295933,0.01835766096534432,410
0.38000000000000006,7.74220435269485,True,0.34840622683469236,6.488408874274916e-05,0.5426241660489252,0.9053830887808622,1.0741335834482837,0.06040118205426704,1349
0.4000000000000001,7.693147512241272,True,0.35640495867768596,0.00010647104070043806,0.5444214876033058,0.9362233172832601,1.1187974789303357,0.04334198979134951,968
0.4400000000000001,7.643423424492046,True,0.38620689655172413,0.0003058295209973518,0.603448275862069,0.8853401914514093,1.3472568130782316,0.012984687024267933,290
0.39000000000000007,7.607731915978846,True,0.3519163763066202,7.149268943984294e-05,0.5400696864111498,0.9194220185103793,1.0796243399174907,0.05140145070296409,1148
0.5100000000000002,0.0,False,0.25,0.0010775914818414445,0.75,12.96469375368152,38.894081261044555,0.00017909913136921287,4
0.5000000000000002,0.0,False,0.2,0.0005817095626938107,0.7,1.2124571897406995,2.829066776061632,0.0004477478284230321,10
0.49000000000000016,0.0,False,0.23529411764705882,0.00021913322613909645,0.6470588235294118,0.6864618072455917,1.2585133132835848,0.0007611713083191547,17
0.5300000000000002,0.0,False,0.0,0.0006837177113476756,1.0,0.0,0.0,4.477478284230322e-05,1
0.5400000000000003,0.0,False,0.0,0.0006837177113476756,1.0,0.0,0.0,4.477478284230322e-05,1
0.5200000000000002,0.0,False,0.0,0.0005618153719992858,1.0,0.0,0.0,8.954956568460644e-05,2
0.5500000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5600000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5700000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5800000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5900000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6000000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6100000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6200000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6300000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6400000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6500000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6600000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6700000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6800000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6900000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7000000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7100000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7200000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7300000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7400000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7500000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
