threshold,objective_score,valid_threshold,diag_coverage,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals,winning_trades,losing_trades,max_drawdown
0.4600000000000002,8.700920109465313,True,0.005999820900868631,0.417910447761194,0.0005572048235885732,0.6492537313432836,0.9582535704813395,1.7737885240824793,0.005999820900868631,134,87,47,0.009237594168007957
0.4500000000000002,8.391254191604192,True,0.010208650488045133,0.42105263157894735,0.00047103522059622577,0.6271929824561403,0.9179358885688964,1.5442921419453197,0.010208650488045133,228,143,85,0.017451678492770184
0.44000000000000017,8.118027816453264,True,0.014865227903644668,0.4066265060240964,0.0003474954344909842,0.6024096385542169,0.9224805293778517,1.397697771784624,0.014865227903644668,332,200,132,0.024584529623403517
0.3600000000000001,8.091472904865675,True,0.09008686307871407,0.3379721669980119,5.448500028812496e-05,0.536779324055666,0.917877130385922,1.0636344429364761,0.09008686307871407,2012,1080,932,0.08506415643322596
0.28,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.29000000000000004,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.30000000000000004,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.31000000000000005,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.32000000000000006,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.33000000000000007,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.3400000000000001,8.081740461327971,True,0.09940001790991314,0.33063063063063064,4.16101179487539e-05,0.5346846846846847,0.9127286482641035,1.0487985532328081,0.09940001790991314,2220,1187,1033,0.08588847150936196
0.3500000000000001,8.025830817386383,True,0.09702695441927106,0.33179510844485466,3.845150053838158e-05,0.5343793262574988,0.9103809468048528,1.0448177764123088,0.09702695441927106,2167,1158,1009,0.08180375328690681
0.42000000000000015,7.99375698817258,True,0.030402077549923884,0.3873343151693667,0.0002040423165936559,0.5670103092783505,0.9359455173580965,1.2256429393975075,0.030402077549923884,679,385,294,0.03877750131073987
0.43000000000000016,7.898622601941828,True,0.02131279663293633,0.3907563025210084,0.00025435462874193366,0.5798319327731093,0.9280298763822364,1.2806812294074865,0.02131279663293633,476,276,200,0.03147064189781512
0.3700000000000001,7.8829120973900055,True,0.08032596041909197,0.3394648829431438,4.592473140843387e-05,0.5362318840579711,0.909898813259987,1.05207050283186,0.08032596041909197,1794,962,832,0.07561655518583144
0.3800000000000001,7.801727655114668,True,0.06944568818841229,0.3520309477756286,5.631316658502366e-05,0.5415860735009671,0.8987798868644961,1.061849655367337,0.06944568818841229,1551,840,711,0.08604554789070562
0.41000000000000014,7.752492650456104,True,0.03881973672427689,0.37139561707035756,0.00013459235301909706,0.5490196078431373,0.9411673850560298,1.1457689905029929,0.03881973672427689,867,476,391,0.044688451378213756
0.40000000000000013,7.652589368407846,True,0.04898361242947972,0.3583180987202925,8.692213921708113e-05,0.5393053016453382,0.9340741848548432,1.0934598592546776,0.04898361242947972,1094,590,504,0.06186861676498834
0.3900000000000001,7.596996366559175,True,0.05874451508910182,0.3544207317073171,5.395294287388371e-05,0.538109756097561,0.9081993173357348,1.0580671914835458,0.05874451508910182,1312,706,606,0.07933724661288499
0.4700000000000002,7.165392080292318,True,0.003313333930330438,0.43243243243243246,0.0005053148861800843,0.6621621621621622,0.8467451883426436,1.6596205691515813,0.003313333930330438,74,49,25,0.009604278304298663
0.4800000000000002,5.641045933156784,True,0.0020148652279036445,0.37777777777777777,0.0004095766673592596,0.6222222222222222,0.89455250321213,1.473380593525861,0.0020148652279036445,45,28,17,0.013812090240630237
0.5100000000000002,0.0,False,0.0004477478284230321,0.4,0.000639435899173324,0.6,1.1319760432103767,1.697964064815565,0.0004477478284230321,10,6,4,0.006577528350195538
0.5000000000000002,0.0,False,0.0008059460911614578,0.2777777777777778,0.00018872335119770846,0.5555555555555556,0.9624190483717424,1.203023810464678,0.0008059460911614578,18,10,8,0.00761329583040582
0.4900000000000002,0.0,False,0.0011193695710575804,0.28,5.220758155941141e-05,0.56,0.8223891372372584,1.0466770837565107,0.0011193695710575804,25,14,11,0.016440782533858056
0.5200000000000002,0.0,False,0.00017909913136921287,0.0,-0.0009701409450780796,0.5,0.22453778296184496,0.22453778296184496,0.00017909913136921287,4,2,2,0.002048898108302666
0.5300000000000002,0.0,False,4.477478284230322e-05,0.0,0.0006837177113476756,1.0,0.0,0.0,4.477478284230322e-05,1,1,0,0.0
0.5400000000000003,0.0,False,4.477478284230322e-05,0.0,0.0006837177113476756,1.0,0.0,0.0,4.477478284230322e-05,1,1,0,0.0
0.5500000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.5600000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.5700000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.5800000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.5900000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6000000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6100000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6200000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6300000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6400000000000003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
0.6500000000000004,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
