year,threshold,year_pass,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals,winning_trades,losing_trades,max_drawdown
2025,0.28,False,0.2790271966527197,4.07305893202068e-05,0.5153101282386809,0.998576859390451,1.0616618985636057,0.1091324200913242,3824,1969,1852,0.09153761605517541
2026,0.28,False,0.40718562874251496,5.196523378889472e-05,0.5553892215568862,0.838700268372747,1.0476693588090544,0.07730586737646106,668,371,297,0.06806955349824984
