fold,threshold,fold_pass,diag_coverage,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals,winning_trades,losing_trades,max_drawdown
2,0.28,True,0.18045449457069293,0.30831265508684863,5.692544326971621e-05,0.5198511166253101,1.0019251752453016,1.084771701363776,0.18045449457069293,1612,838,774,0.0925579549827441
3,0.28,False,0.23116534199037278,0.23196125907990314,-2.144150119968994e-05,0.502909796314258,0.951016770124463,0.9621506249942128,0.23116534199037278,2065,1037,1025,0.10906237585204226
4,0.28,False,0.12761670211575057,0.3631578947368421,8.003906372413481e-05,0.5324561403508772,0.9673009185416952,1.1015978565756266,0.12761670211575057,1140,607,533,0.07998074651639875
5,0.28,False,0.12880483437779766,0.38835794960903564,4.945180592680618e-05,0.5551694178974804,0.8426812137663725,1.0517056554623283,0.12880483437779766,1151,639,512,0.08730777260279832
