fold,threshold,fold_pass,diag_coverage,trade_accuracy,expectancy,winrate,rr_ratio,profit_factor,coverage,total_signals,winning_trades,losing_trades,max_drawdown
2,0.28,True,0.11418336505093474,0.3,0.00010397564687333294,0.5284313725490196,1.035888983387654,1.1607986736921942,0.11418336505093474,1020,539,481,0.059852031748812706
3,0.28,False,0.1648942124706146,0.219959266802444,-2.8534013525532722e-05,0.5023793337865398,0.9392267663537461,0.9482084430811725,0.1648942124706146,1473,739,732,0.09552873666971329
4,0.28,False,0.0778014105003918,0.3726618705035971,2.7821761918035835e-05,0.5194244604316547,0.954675346996485,1.0318497013944046,0.0778014105003918,695,361,334,0.08755895160044458
5,0.28,False,0.07576096687555954,0.4076809453471196,6.635883606514907e-05,0.5553914327917282,0.8492554978349451,1.0608640105845162,0.07576096687555954,677,376,301,0.06806955349825083
